Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-137470,125697,Fix crypto setup with hex passphrase,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Sep/25 12:06 PM,08/Sep/25 12:56 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137364,125400,2FA setup requires multiple clicks on the Finish button to complete ,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,29/Aug/25 2:18 PM,08/Sep/25 12:12 PM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137154,124890,Sorting on Display Port not proper,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,13/Aug/25 7:20 PM,07/Sep/25 1:28 PM,Low,Complete,SCALE-25.04.2.1 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137215,125040,Clean up Containers screen areas that are specific to the disabled VMs area,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,18/Aug/25 12:31 PM,07/Sep/25 1:28 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,doc_impact,IX_EMPLOYEE,ready_for_assignment,,Defect
NAS-137230,125095,Fix misleading help text for Show Text Console without Password Prompt ,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,19/Aug/25 4:27 PM,07/Sep/25 1:27 PM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Improvement
NAS-137272,125150,Horizontal Scrolling and Key table placement Improvement request,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,22/Aug/25 10:54 AM,07/Sep/25 1:27 PM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Improvement
NAS-137291,125238,VM list does not remember column state,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 3:52 AM,07/Sep/25 1:27 PM,Low,Complete,SCALE-25.04.2.1 (Fangtooth),,,,IX_EMPLOYEE,ready_for_assignment,,,Bug
NAS-137321,125285,"Display Port not displayed when you expand ""Name"" on Virtual Machines",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 6:32 PM,07/Sep/25 1:26 PM,Low,Complete,SCALE-25.04.2.1 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137332,125317,During vm iso upload clicking away from the progress window results in an error,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 11:59 AM,07/Sep/25 1:26 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137369,125407,"Creating SMB share complains about non-existent ""Enable ACL"" option",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,29/Aug/25 8:29 PM,07/Sep/25 1:25 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137343,125334,Set proper errno when update.download_update times out,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,28/Aug/25 7:05 AM,06/Sep/25 7:31 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Improvement
NAS-137378,125453,"ACL editor ignoring unchecked ""Apply owner/group"" checkboxes in 25.04+",SCALE-25.04.2.4 (Fangtooth),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,31/Aug/25 3:49 PM,06/Sep/25 7:22 AM,Blocker,Complete,SCALE-25.04.2.1 (Fangtooth),SCALE-25.04.2.3 (Fangtooth),SCALE-25.10-BETA.1 (Goldeye),,COMMUNITY_USER,hf_want,ready_for_assignment,,Bug
NAS-136973,124582,Virtual Machines page doesnt refresh properly,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Aug/25 10:15 AM,05/Sep/25 2:42 PM,Medium,Complete,SCALE-25.04.2 (Fangtooth),,,,COMMUNITY_USER,doc_impact,ready_for_assignment,,Bug
NAS-137446,125616,Fix handling for disabled directory services,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,05/Sep/25 10:24 AM,05/Sep/25 10:36 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
