Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-134198,116981,Simplify user management,SCALE-25.10-BETA.1 (Goldeye),,,,Done,13/Feb/25 11:25 AM,21/Aug/25 10:04 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Epic
NAS-134268,117176,Designs for simpler user form,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,17/Feb/25 8:09 AM,21/Feb/25 7:49 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134269,117177,Designs for simpler user list,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,17/Feb/25 8:09 AM,21/Feb/25 7:48 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134303,117254,Add a string for the reason to revoke an API Key,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Feb/25 1:25 PM,12/Mar/25 10:21 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134324,117310,"Present ticket info in a more durable format (modal, longer timeout)",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Feb/25 9:57 AM,03/Apr/25 10:10 AM,Low,Complete,SCALE-25.04-BETA.1 (Fangtooth),,,,IX_EMPLOYEE,jirabug,,,Improvement
NAS-134329,117316,"When `core.download` job fails, show this error to the user",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Feb/25 10:34 AM,05/Mar/25 9:37 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Bug
NAS-134333,117321,Show current system version on the update page,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Feb/25 11:53 AM,17/Mar/25 6:24 AM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-134371,117435,Tests are failing sometimes (InitiatorListComponent is shown),SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Feb/25 7:58 AM,10/Mar/25 5:34 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,IX_EMPLOYEE,,,,Bug
NAS-134381,117447,Come up with a better flow for managing translations,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Feb/25 9:34 AM,18/Mar/25 11:15 PM,Medium,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134384,117451,Handle REDIRECT login error,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Feb/25 9:44 AM,16/Jun/25 5:18 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134395,117490,Strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Feb/25 10:24 PM,28/Feb/25 10:17 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134424,117603,Make sure TrueNAS is not being indexed,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,24/Feb/25 3:33 PM,28/Feb/25 10:17 AM,Low,Complete,,,,,,,,,Improvement
NAS-134471,117758,Create boilerplate for new users page,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Feb/25 4:16 AM,17/Mar/25 6:23 AM,High,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134475,117765,Implement master-detail layout for users list,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Feb/25 7:55 AM,10/Mar/25 10:35 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134477,117767,Refactor user form for new design,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Feb/25 9:04 AM,05/Apr/25 4:50 AM,Low,Complete,,,,,IX_EMPLOYEE,jirabug,,,New Feature
NAS-134494,117826,Build a generic user picker component,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,28/Feb/25 8:53 AM,03/Apr/25 11:27 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134500,117838,Pulled snapshot not getting pruned,SCALE-25.04.2 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,28/Feb/25 12:37 PM,13/May/25 7:55 AM,Low,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-134514,117872,Cannot delete Allowed IP Address after switching from Static IP to DHCP,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,01/Mar/25 6:45 PM,13/Mar/25 2:45 AM,Medium,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-134526,117897,Implement advanced user search,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Mar/25 7:47 AM,18/Apr/25 8:21 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134529,117900,Update user profile card on details view,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Mar/25 7:55 AM,24/Mar/25 8:08 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134568,117973,convert tunable plugin to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Mar/25 7:09 AM,04/Mar/25 3:29 PM,Medium,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,,IX_EMPLOYEE,,,,Improvement
NAS-134569,117974,convert update.py to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Mar/25 7:12 AM,07/Mar/25 10:01 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134575,117987,Refactor user/group providers,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Mar/25 9:57 AM,10/Mar/25 10:34 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134598,118030,Add support for mutual authentication TLS for remote syslog,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,05/Mar/25 3:22 AM,26/Jun/25 12:40 PM,Low,Complete,,,,,IX_EMPLOYEE,jirabug,,,Improvement
NAS-134607,118043,Provide visual indicator for production status or hostname,SCALE-25.10-BETA.1 (Goldeye),,,,Done,05/Mar/25 9:18 AM,02/Jul/25 7:43 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134608,118057,Reduce number of unused strings,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/Mar/25 10:52 AM,07/Mar/25 7:31 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134619,118094,"App page uses both ""update"" and ""upgrade"" as terminology for installing new version",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,06/Mar/25 3:58 AM,05/Aug/25 7:40 AM,Low,Complete,Master - TrueNAS Nightlies,,,,doc_impact,doc_resolved,IX_EMPLOYEE,,Bug
NAS-134655,118176,More strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,07/Mar/25 11:11 AM,10/Mar/25 8:47 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
