Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Labels
Bug,NAS-139385,137250,Plural forms are not rendering correctly on the current page,26.0.0-BETA.1,,Done,20/Jan/26 7:00 AM,06/Feb/26 4:51 AM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-139329,136767,Tunables and Syctls is duplicate page,26.0.0-BETA.1,,Done,15/Jan/26 9:44 AM,06/Feb/26 4:51 AM,Undefined,Complete,,,,doc_impact,IX_EMPLOYEE,,,
Epic,NAS-137642,126052,Context Aware Alerts,26.0.0-BETA.1,,Done,22/Sep/25 10:01 AM,06/Feb/26 4:50 AM,Medium,Complete,,,,2604alpha2beta,IX_EMPLOYEE,,,
Bug,NAS-139490,138240,Shares/NFS no action available,26.0.0-BETA.1,,Done,27/Jan/26 3:51 AM,05/Feb/26 4:31 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-139093,135294,Link the Rsync logs,26.0.0-BETA.1,,Done,28/Dec/25 3:32 AM,05/Feb/26 3:42 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-138613,130377,Z-Pool is degraded but nothing tells me why or how.,26.0.0-BETA.1,,Done,19/Nov/25 5:50 PM,05/Feb/26 3:12 PM,Medium,Complete,SCALE-25.10.0.1 (Goldeye),,,2604alpha2beta,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-139241,136141,Fix timspan display issues on UPS reporting charts,26.0.0-BETA.1,,Done,09/Jan/26 7:50 AM,05/Feb/26 3:11 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,IX_EMPLOYEE,ready_for_assignment,,,
Bug,NAS-139521,138453,Some UI elements is active while filing a bug,26.0.0-BETA.1,,Done,28/Jan/26 4:22 AM,05/Feb/26 3:10 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139363,137047,Dataset unavailable after zfs send,26.0.0-BETA.1,,Done,18/Jan/26 3:43 PM,05/Feb/26 8:02 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139491,138244,WebUI logs out user on Firefox page refresh,26.0.0-BETA.1,,Done,27/Jan/26 4:48 AM,03/Feb/26 6:55 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-139544,138919,Add option to de-register from TrueNAS Connect,26.0.0-BETA.1,,Done,30/Jan/26 1:46 PM,02/Feb/26 2:04 PM,Medium,Complete,,,,IX_EMPLOYEE,,,,
